Source,Destination,Protocol,Packet Count,Avg Length
13.67.9.5,192.168.29.73,TCP,1,66.0
148.113.20.116,192.168.29.73,TCP,9,62.0
192.168.29.1,192.168.29.73,UDP,1,215.0
192.168.29.1,239.255.255.250,UDP,3,136.0
192.168.29.73,13.67.9.5,TCP,1,55.0
192.168.29.73,148.113.20.116,TCP,9,54.666666666666664
192.168.29.73,192.168.29.1,UDP,1,92.0
192.168.29.73,199.232.168.193,TCP,2,55.0
192.168.29.73,20.189.173.23,TCP,23,739.695652173913
192.168.29.73,20.42.65.89,TCP,12,452.25
192.168.29.73,20.42.73.31,TCP,13,514.8461538461538
192.168.29.73,20.44.10.122,TCP,12,458.5833333333333
192.168.29.73,34.237.73.95,TCP,9,164.11111111111111
192.168.29.73,40.79.173.40,TCP,11,342.0
199.232.168.193,192.168.29.73,TCP,2,66.0
20.189.173.23,192.168.29.73,TCP,16,78.1875
20.42.65.89,192.168.29.73,TCP,9,633.2222222222222
20.42.73.31,192.168.29.73,TCP,11,527.9090909090909
20.44.10.122,192.168.29.73,TCP,10,574.9
34.237.73.95,192.168.29.73,TCP,7,208.28571428571428
40.79.173.40,192.168.29.73,TCP,9,632.8888888888889
52.178.17.2,192.168.29.73,TCP,1,54.0
